rank,username,score,gold,rares,epics,legendaries,userid
121,byproducts_1858,1090672.192,328912.0,426,145,34,7145202999
122,ekaterina071185,1082670.0,755000.0,104,25,6,7267817521
123,Carv232,1073649.168,319824.0,419,158,33,7184806637
124,rangipangirangi,1071840.93,398010.0,289,99,27,6975347798
125,cocke11,1066410.888,319476.0,442,156,32,6775043882
126,ZqExWK,1057860.0,324000.0,417,158,30,6967073953
127,comically_Alterant,1053420.0320000001,335912.0,384,147,29,7197348982
128,Teona100,1051708.68,450990.0,222,70,23,7293864409
129,Baetulichambertin,1048381.352,335912.0,387,144,29,7359018737
130,nzbawB,1047823.5599999999,321912.0,419,156,30,6899651312
131,Tolik2015,1044593.9999999999,443000.0,206,82,22,7430692417
132,CmNwbk,1043417.2960000001,326476.0,426,150,29,7476951379
133,Fossaorpheus,1040517.774,323343.0,418,165,27,6998032435
134,preexpo,1039342.4,280600.0,532,182,36,6730431155
135,WoxVCR,1033080.8849999999,323343.0,431,144,30,7296395807
136,DavidHa1s,1025782.164,547668.0,195,53,12,5048377815
137,ejVufX,1025638.3200000001,334520.0,398,133,29,7110535438
138,vaughnivan,1006154.564,418882.0,280,97,18,5019516605
139,Serra903,999495.348,315996.0,423,155,27,7010892807
140,Kaswan202,999187.84,526720.0,177,55,13,6516688013
141,moneymaster2,980858.88,528480.0,190,66,9,512502011
142,Ehehdudub,972135.0,285000.0,407,164,34,7875432264
143,saymynamenk,970701.174,391254.0,305,101,19,474460475
144,6235704440,968822.848,300224.0,433,159,28,6235704440
145,Columbinbs,963072.0000000001,288000.0,400,169,31,7935702405
146,nondero,953667.0000000001,297000.0,375,136,34,7106159027
147,elayaKrit,945656.0,344000.0,381,98,26,1859863410
148,OlegLet,943862.258,542138.0,135,56,9,1279792559
149,bodh111,926537.0240000001,335216.0,396,148,16,7099754934
150,arane111,907334.9999999999,297000.0,387,128,30,6992853440
151,Mg70024,904689.5999999999,196800.0,621,256,48,6840453711
152,tan_aleks,897111.6000000001,558600.0,108,38,9,6644855185
153,Bli111111,895815.0,255000.0,407,141,42,7075568534
154,eardrumcyanite,882650.0,254000.0,453,162,35,7117635877
155,Funkia_1973,881293.248,218304.0,493,184,48,7048718649
156,recon121,876297.1520000001,252608.0,459,155,36,6748862767
157,Tem2222,873078.8570000001,293867.0,375,146,24,7020922700
158,chi3333333,865725.0,255000.0,427,153,35,6885033770
159,apron_Mesel,865504.06,252260.0,457,159,34,7084608690
160,clnQnc,865033.16,253304.0,465,150,35,7076274340
161,Mdranik96,860133.932,253652.0,417,134,39,7176334053
162,Corvus,856544.0,116000.0,1134,420,91,line:Ubc35a5c95cc0044411696cb5d38cf030
163,A_O_A_07,855362.031,647511.0,57,24,4,1829612750
164,nanhan67,851691.0,219000.0,519,190,41,7027923019
165,Stefan_g11,847489.62,496770.0,136,50,9,2048673886
166,CFq1111,845835.0,255000.0,433,149,33,7059367273
167,cas1111111,843285.0,255000.0,441,171,28,6318293209
168,Bron54,843149.9999999999,219000.0,492,193,40,7182390423
169,Ckritzon,839233.2000000001,280680.0,430,135,25,8114324411
170,Con22222,838942.8480000001,253304.0,404,153,33,7030461628
171,Uni_tron,838431.0,297000.0,395,128,22,7096776215
172,Sudir34,835049.0399999999,432220.0,176,61,13,6613753251
173,DIB11111,834360.0000000001,255000.0,472,135,33,6551755574
174,StBujang,826006.76,364040.0,225,69,21,6096109698
175,Avantgar12,820928.0,254000.0,468,154,28,7193085857
176,5224820999,818812.0,591200.0,61,29,5,5224820999
177,5811288539,815734.0,446000.0,145,59,11,5811288539
178,PavelSuv,809240.51,541298.0,75,20,10,1127537422
179,schlockalanson,799632.0,216000.0,476,181,38,6650327433
180,7776446134,786624.0,482000.0,110,47,8,7776446134
181,qew11111,782924.9999999999,219000.0,499,196,30,6823179008
182,Stoner1998,776088.0,216000.0,493,165,37,7107984904
183,7337861837,758940.0,364000.0,251,64,15,7337861837
184,antsyc,753302.968,252956.0,418,150,22,7070492601
185,preac1,747232.0240000001,252956.0,418,151,21,7114762892
186,CwxoSe,741744.0,216000.0,496,168,31,6473084697
187,KardanFlaers,736100.0,425000.0,138,59,8,8119160052
188,7303066101,736011.0000000001,477000.0,105,38,7,7303066101
189,malmcs,714744.0,216000.0,497,172,26,6721970300
190,alextigerv,705712.721,527833.0,55,32,3,5416107807
191,7573193877,704305.6799999999,165680.0,641,215,44,7573193877
192,Aurora11000,700608.48,368160.0,207,56,12,7441598034
193,8018803376,687931.252,264284.0,313,105,22,8018803376
194,zmwmkm4y,678760.0,239000.0,346,124,25,5963698016
195,odinL9M,677227.5199999999,242560.0,400,142,18,2043609408
196,ogslava_v,671553.3200000001,291220.0,208,88,19,7063338675
197,Dsverba,670679.425,219535.0,411,149,25,994336086
