username,score,purple,legendaries,userId
hiimkat,90000.00,25000,26,256562490
snow_hello,90000.00,25000,26,7396023964
Alexey_Ribalchenko_007,90000.00,20000,35,6743706566
cochin_i,90000.00,18000,40,7166247980
cryptokinguin,89900.00,29000,21,1268632135
SeintzA,89600.00,28000,22,5266795569
7534410584,89352.00,24820,26,7534410584
Perplexedaurite,88830.00,18900,37,7112604686
yusho375,88515.00,25290,25,7739711450
Greenfrog7777,88400.00,26000,24,1187006917
Lacremeowsa,88400.00,26000,24,5470811093
T_AleksL,88400.00,26000,24,736737015
7116287997,88400.00,17000,42,7116287997
sauncytrichogrammatidae,88400.00,17000,42,7438517306
JulieKotova,88344.00,24540,26,217144830
Vasilius12,88000.00,22000,30,1291748608
AlexOneRo,88000.00,22000,30,490461944
Umutct,87850.00,35140,15,1688791111
konpedalniii,87500.00,25000,25,1250631098
ponk3502,87500.00,25000,25,7455152476
YuretsYuR,87010.00,24860,25,1820544672
iterasha1,87000.00,30000,19,629386320
i588261236bi,87000.00,29000,20,6991783063
Albehmae,87000.00,29000,20,7488316772
ao_sun3,86800.00,31000,18,5445862223
Elmz121899,86400.00,32000,17,6489241664
alcyone_2010,86400.00,18000,38,7388113854
Temlis0l,86222.00,22690,28,1567294389
HueBui96,85895.00,20950,31,6210935685
d_maestro,85800.00,26000,23,748902831
HazBazZz,85800.00,22000,29,345527245
rastashu,85800.00,22000,29,454292743
rudy_sv,85800.00,22000,29,5534354979
Ilyas28,85644.00,21960,29,384147075
mhegz_19,85536.00,25920,23,5777612832
Leonidbon,85500.00,19000,35,876435883
MURAT_GOK,85250.00,27500,21,1530460668
Nikita_Olegovich,85100.00,23000,27,442756763
Nezuko0620,85100.00,23000,27,6028649275
kevidai,85000.00,17000,40,7998445220
7960790104,84796.00,24940,24,7960790104
Ezcurt,84508.00,22840,27,5572676356
7625652440,84100.00,29000,19,7625652440
5036469935,84000.00,28000,20,5036469935
dzhey,84000.00,28000,20,7113946516
Iren_333,84000.00,28000,20,7373544978
Eyes075g,84000.00,24000,25,6359033119
Justice7510,84000.00,21000,30,6864541436
nataliasporty,83880.00,20970,30,1214172926
ibon99,83700.00,27000,21,1019260569
Ludgiii,83700.00,27000,21,1445287984
snatali_5_7,83700.00,27000,21,5707107257
anatoli_dabyshuk,83600.00,22000,28,5311925719
behruz_05l,83600.00,22000,28,5783456377
goblokyou,83204.00,18910,34,6056942940
6961794496,83200.00,32000,16,6961794496
hurricane89,83200.00,26000,22,2124589108
TonNotMeme,83200.00,26000,22,519607136
Egullssss,83200.00,26000,22,7811774246
mCCaYA,82800.00,18000,36,7205158026
ollec06,82500.00,25000,23,5734339216
Kimmyy108,82404.00,22890,26,8039905750
angel1na756,82000.00,20000,31,1343254935
deviaaru,82000.00,20000,31,6460333090
RomanHsieh,81900.00,21000,29,1507644044
degenHX,81900.00,21000,29,7220423282
intersprinkledKooks,81700.00,19000,33,7264149564
7391424172,81612.00,22670,26,7391424172
goalubika,81600.00,24000,24,400308021
7815900536,81400.00,22000,27,7815900536
PAPAPIXA,81000.00,30000,17,6194239074
pidzhakov7,80886.00,23790,24,5050024706
qwertyyyyy1234,80600.00,26000,21,5303912830
JayvieGojo,80600.00,26000,21,5822426481
Dak_ak,80600.00,26000,21,7951795160
alina_kosmo,80500.00,23000,25,232974938
gizmo_vasto,80036.00,23540,24,5678820266
ogtreeps,80000.00,20000,30,268385006
Alyssaxdaemon,80000.00,20000,30,7086059299
ArtillerLivyer,80000.00,20000,30,7525420387
welmattt,79500.00,15000,43,8039198729
ivanykovych02,79200.00,24000,23,1148642184
1155785572,79200.00,24000,23,1155785572
piple_chilit,79200.00,22000,26,5139922527
Mutine_1822,79200.00,18000,34,7113506681
Cycy0707,78904.00,28180,18,6499403404
dfilipenko2005,78640.00,19660,30,753679733
Vitalii_Chaika20,78300.00,27000,19,1687902547
Zaa1900,78200.00,23000,24,1395815073
kyr57,78200.00,23000,24,431535119
Spencer_Alvarezf64,78200.00,17000,36,8392428395
k9k646,78000.00,26000,20,5220224834
bobozyon,78000.00,26000,20,541608398
Maksnuts,78000.00,20000,29,1135810124
rushland_1922,78000.00,20000,29,7541843087
Oppenheimer1972,77832.00,33840,13,501164365
plasmasg,77717.00,25070,21,570645433
Dr_Samigulina,77500.00,25000,21,461160340
7208344656,77441.00,20930,27,7208344656
AnaaViks,77000.00,22000,25,7615143147
Skadie_Leo,76986.00,29610,16,923812007
PandaCrew89,76800.00,32000,14,358709165
MagicNinjaX,76800.00,24000,22,1644381684
heavymetalinmybrain,76800.00,24000,22,393564236
Vas_26,76800.00,24000,22,470666397
tereshenko699,76800.00,16000,38,6908415551
ModrisTrulis,76800.00,16000,38,823924777
m1ster_telegram,76500.00,17000,35,6122479840
Thomas_JoyceU5294,76500.00,17000,35,8314404639
zubeyr_muslim,76275.00,16950,35,1203796843
asdead11,76263.00,23110,23,890765478
Bweeex,76260.00,18600,31,6195148962
kaaarlp,76000.00,20000,28,5921607767
Larik000,75900.00,23000,23,110435550
Isudyui,75900.00,23000,23,6882680670
PharsaYwu,75900.00,23000,23,7982285421
gzvSOa,75734.00,19930,28,7521763723
Bereznichenko,75600.00,28000,17,1093613500
Evgen_bmk,75600.00,21000,26,6259476826
Demosthenes11,75600.00,21000,26,7084808387
coved_2029,75582.00,19890,28,6391881745
zOrBwp,75544.00,19880,28,7513247364
Alina_Starling,75488.00,26960,18,1061578485
AndreykaBarmaleyka,75400.00,26000,19,309067504
nurkhan1993,75392.00,19840,28,802154461
BogdanHomik,74907.00,25830,19,336827329
daniilnikitin1923,74800.00,17000,34,1000846346
7328290024,74800.00,17000,34,7328290024
Crypto_Alex_Rusakov,74400.00,31000,14,1831006583
neki4_forever,74400.00,14880,40,257738325
shothit2,74354.00,15820,37,8476765808
Miraacle21,74276.00,23960,21,6719669220
onew1ngAngel,74120.00,21800,24,6567452994
olanrl,74100.00,28500,16,5325535418
PandaVeg,74000.00,37000,10,853726164
Olka1887,74000.00,20000,27,1431224363
